venue_key,venue_name,city,state,capacity,surface
1,Adelaide Arena at Jiangwan Stadium,,,,
2,Adelaide Hills,,,,
3,Adelaide Oval,,,,
4,Barossa Park,,,,
5,Bellerive Oval,,,,
6,Blacktown,,,,
7,Carrara,,,,
8,Cazaly's Stadium,,,,
9,GMHBA Stadium,,,,
10,Hands Oval,,,,
11,Jiangwan Stadium,,,,
12,MCG,,,,
13,Manuka Oval,,,,
14,Mars Stadium,,,,
15,Marvel Stadium,,,,
16,Norwood Oval,,,,
17,Optus Stadium,,,,
18,Riverway Stadium,,,,
19,SCG,,,,
20,Stadium Australia,,,,
21,Subiaco,,,,
22,Sydney Showground,,,,
23,TIO Stadium,,,,
24,The Gabba,,,,
25,Traeger Park,,,,
26,UTAS Stadium,,,,
27,University of Tasmania Stadium,,,,
28,Wellington,,,,
